instrument_id,instrument_type,orig_unpaid_balance,start_dt,unpaid_balance,rating_grade
fc9f278f-f17a-4a99-b30b-f9dce53706b7,HELOC,339594.5,2021-05-06,188083.14,C
e38d0276-df4d-46a3-a428-530c87ae931d,CONSTRUCTION,171216.45,2019-04-18,133063.42,E
dbf38664-79c4-480c-bf52-52aef4021133,CREDIT_CARD,12489.65,2020-07-08,6353.78,D
22fe5450-b1c2-4ebb-83ab-15a25157613c,HELOAN,343746.63,2020-11-05,325140.69,F
c30d3bf6-969d-4ae0-8312-1f1ac72590ca,HELOAN,343418.73,2020-01-21,335053.22,F
3704beb0-1b87-4174-86f2-d12241298231,HELOAN,259733.17,2016-07-28,217626.7,F
5442a211-2ed4-492f-a3ca-cd3633de3ae1,CREDIT_CARD,30614.24,2023-01-15,2377.54,A
05b4c525-87ad-47f3-9497-d52a2c92db39,AUTO,20340.2,2021-07-05,14958.7,D
ab554b90-4428-48d4-b071-a36217de2870,CONSTRUCTION,268338.73,2016-05-19,250126.1,F
5572f394-7b27-4e6d-b568-ede6ce380ec2,CREDIT_CARD,38764.79,2022-04-11,34695.91,F
ebbb5dd3-a992-47f3-bf6e-b2a7f28ca91d,CREDIT_CARD,19407.23,2023-06-22,19350.98,F
9f26630e-996d-47d5-8e3d-00047f3facf2,AUTO,7708.17,2022-03-13,4065.45,C
9e3b2f8b-946b-43f2-b778-d4e664f8d51d,HELOAN,139136.12,2023-05-13,77923.6,C
c8230029-0239-4859-a009-b0b45cf01286,HELOAN,408541.26,2020-04-21,220787.92,D
35727a1b-2ca0-4f64-93cb-8ad7cb96f028,AUTO,6599.5,2019-03-19,4240.08,D
2993abd8-b5a7-47aa-b71a-ca69ee563b0d,AUTO,4305.13,2020-10-28,3438.06,D
0ab9020d-61e6-4a3d-a880-32cb12a71922,CREDIT_CARD,18380.41,2019-02-12,900.73,B
0a647a0b-6ef4-4a49-851a-fbca24f18d59,AUTO,29103.89,2019-03-16,17251.8,D
37721ccd-eff5-4954-a585-9cd330124959,CREDIT_CARD,34206.75,2023-12-29,11859.85,B
35848dd5-9665-4115-98e7-9b24e77fa65e,HELOAN,313067.94,2021-07-01,23485.97,A
d34d5e9c-ecf3-4a87-8cc1-1c8a350c58c2,HELOAN,419164.7,2021-07-02,42288.22,A
e9afafb1-02b2-4cbd-8e88-a08ceba79a2b,CREDIT_CARD,10794.81,2019-08-26,2800.96,B
4232fdd9-bef8-4e00-b766-2468092225db,AUTO,39387.81,2017-11-05,38781.71,F
63f0c69c-4725-4db5-8f3a-7a96759b1365,CREDIT_CARD,26841.66,2022-05-22,8100.07,B
fee456c8-ddb0-461c-9e85-bf282e8fcbc3,AUTO,24775.41,2016-01-24,20680.7,F
18717ffc-7549-4075-af53-756fbd74e340,CREDIT_CARD,5227.57,2015-06-15,3323.95,E
10dc69a1-adb1-42fd-ac60-96d4aa88c87e,HELOC,219832.08,2016-06-12,131898.12,E
8da7c415-6f0b-44ed-b6c9-73ea1a9bfb9f,HELOC,121526.65,2021-08-14,103514.51,F
57472def-a560-472c-af2b-4895552eae9e,CONSTRUCTION,391506.97,2016-03-12,154709.45,D
1135576c-8de1-4901-80b4-3fe62c5499b1,HELOAN,258189.43,2021-03-30,171599.01,D
36004963-3f34-408e-a01d-8fce3c9a3e59,HELOAN,410733.91,2018-06-28,230174.75,D
b7b512e8-6cd0-4875-accc-1d2a20c061f7,HELOC,386899.01,2019-09-04,14248.25,B
2d2f0d46-d74f-4b03-a3e9-ed9a4b3d1064,HELOAN,391920.6,2019-12-07,38716.34,B
25806fbe-11ce-4914-af37-9732ad5f3ae7,AUTO,11161.41,2024-01-17,6933.53,C
34439317-f873-4ff8-86d9-f6ce1e67fb69,CREDIT_CARD,16462.95,2021-11-08,14273.07,F
841a7d2a-57af-401d-96ff-97291e03470c,HELOAN,414301.39,2020-05-09,336568.23,F
705fad9f-2cfc-4055-8546-3f70f2660445,CREDIT_CARD,12313.49,2018-12-16,6538.91,D
bbc6a0b1-1667-47c5-95fc-994ca1a6c0d6,CREDIT_CARD,29015.6,2022-01-30,16236.54,C
56561623-aabf-449e-985e-74622221c829,AUTO,6454.07,2017-05-28,1000.35,C
51363730-d704-479d-a8d7-267c1cd304f8,HELOC,371747.66,2019-12-23,258715.2,E
208c1418-8c57-4971-abb8-72a68d6895d7,CREDIT_CARD,11645.0,2018-06-22,5289.37,C
56e34ba8-196a-4357-8932-2506d861ce60,CONSTRUCTION,330462.77,2022-09-03,304636.17,F
9e256031-96b7-4c14-a0b2-f89b53157107,HELOC,212564.43,2021-09-09,201529.48,F
6d9f1b82-2c92-45d4-920c-deb1b5ac999b,HELOAN,230046.07,2023-11-06,3226.3,A
8a5a4da7-613f-4188-b7ff-a3d4100fca4a,CREDIT_CARD,31658.73,2023-04-07,31439.59,F
5183d749-ca83-418b-96dd-f514b690bcdb,CREDIT_CARD,16520.65,2019-07-15,7400.38,C
5e87c85c-9199-4451-a7ab-fe409a827e06,AUTO,30393.16,2018-10-21,4217.23,B
f39400e4-f7e5-49c7-a599-44b1b83aaf6d,AUTO,4063.85,2019-01-08,543.57,B
21883550-6952-4446-b788-90062b1862e8,AUTO,31595.19,2014-11-05,6103.02,C
69d3460a-af02-4932-ae3d-9d8667e09f4f,CONSTRUCTION,293732.03,2018-05-10,125369.04,C
